recno,Year,SN,e_SN,<SN>
1,971,120.5,39.4,62.2
2,972,47.9,17.4,65.3
3,973,2.7,20.2,68.6
4,974,-25.5,24.4,71.2
5,975,-49.7,23.3,73.0
6,976,-62.0,24.4,74.2
7,977,-42.8,32.7,75.5
8,978,27.3,52.2,76.9
9,979,133.0,76.0,78.3
10,980,231.8,94.7,79.5
11,981,273.6,100.0,80.3
12,982,238.8,92.7,80.6
13,983,157.5,76.1,80.6
14,984,76.0,55.1,80.3
15,985,26.5,40.1,80.0
16,986,7.4,34.5,79.6
17,987,-15.9,32.3,79.1
18,988,-46.0,31.1,78.7
19,989,-28.2,34.1,78.4
20,990,55.9,39.2,78.1
21,991,160.0,48.1,77.8
22,992,210.9,53.1,77.3
23,993,194.1,48.0,77.3
24,994,140.3,40.5,76.9
25,995,45.2,31.9,76.2
26,996,-43.0,26.0,75.3
27,997,-51.8,25.5,74.5
28,998,7.5,29.7,73.7
29,999,63.8,36.3,72.7
30,1000,98.3,42.8,71.3
31,1001,149.4,49.5,69.6
32,1002,187.1,53.3,67.6
33,1003,185.7,53.3,65.3
34,1004,153.7,49.7,63.0
35,1005,93.5,42.2,60.6
36,1006,31.0,33.5,58.2
37,1007,-16.8,28.0,55.8
38,1008,-29.4,26.8,53.5
39,1009,-13.1,29.6,51.2
40,1010,6.6,32.6,48.9
41,1011,41.2,36.9,46.3
42,1012,75.3,42.0,43.6
43,1013,94.4,44.9,40.7
44,1014,93.8,44.0,38.0
45,1015,77.3,38.7,35.3
46,1016,55.3,31.5,32.7
47,1017,22.6,26.9,30.2
48,1018,-3.7,22.9,27.7
49,1019,-25.8,20.5,25.1
50,1020,-39.1,21.0,22.6
51,1021,-35.6,21.4,20.2
52,1022,-25.4,23.1,18.1
53,1023,-1.4,25.2,16.4
54,1024,33.9,29.3,15.1
55,1025,58.0,33.0,14.1
56,1026,63.8,33.1,13.1
57,1027,45.4,28.9,12.2
58,1028,14.0,23.2,11.1
59,1029,-18.0,21.9,10.1
60,1030,-40.8,23.0,9.2
61,1031,-40.4,22.4,8.6
62,1032,-26.8,20.4,8.4
63,1033,-5.8,20.3,8.4
64,1034,27.5,23.3,8.7
65,1035,45.7,25.3,9.0
66,1036,37.2,26.1,9.3
67,1037,23.4,25.8,9.6
68,1038,10.3,24.0,10.0
69,1039,-2.0,21.3,10.6
70,1040,-10.9,18.6,11.1
